1.000E-01 0.500E+00 0.400E+00 8.076E+04  1.750E+05 3.000E+04 1.000E+02 1.000E+01 3.350E+02 1.000E-06 926
 3961       0.9708447389757344       1.0166888101088354
 4084       0.0091259464134641       0.5079378907451517
 4085       0.0439994428354851       0.5280721250554736
 4086       0.0788729392575056       0.5482063593657955
 4087       0.1137464356795261       0.5683405936761179
 4088       0.1486199321015471       0.5884748279864402
 4089       0.1834934285235681       0.6086090622967621
 4090       0.2183670023742823       0.6287433413105876
 4091       0.2532404213676096       0.6488775309174069
 4092       0.2881139952183238       0.6690118099312319
 4093       0.3229874142116511       0.6891459995380507
 4094       0.3578609880623653       0.7092802785518761
 4095       0.3927344070556926       0.7294144681586954
 4096       0.4276079809064068       0.7495487471725204
 4097       0.4624813998997341       0.7696829367793396
 4098       0.4973549737504488       0.7898172157931651
 4099       0.5322285476011630       0.8099514948069901
 4100       0.5671019665944899       0.8300856844138089
 4101       0.6019755404452045       0.8502199634276344
 4102       0.6368489594385318       0.8703541530344536
 4103       0.6717225332892460       0.8904884320482787
 4104       0.7065959522825733       0.9106226216550979
 4105       0.7414695261332875       0.9307569006689234
 4106       0.7763429451266148       0.9508910902757421
 4107       0.8112165189773290       0.9710253692895676
 4108       0.8460899379706563       0.9911595588963864
 4109       0.8809635118213706       1.0112938379102119
 4110       0.9158369308146979       1.0314280275170307
 4111       0.9507105046654125       1.0515623065308561
 4112       0.9855839236587394       1.0716964961376749
 4235       0.0238652085251627       0.5629456214774944
 4236       0.0587387049471833       0.5830798557878163
 4237       0.0936122013692042       0.6032140900981386
 4238       0.1284856977912248       0.6233483244084610
 4239       0.1633591942132457       0.6434825587187829
 4240       0.1982327680639600       0.6636168377326084
 4241       0.2331061870572873       0.6837510273394276
 4242       0.2679797609080015       0.7038853063532526
 4243       0.3028531799013288       0.7240194959600714
 4244       0.3377267537520430       0.7441537749738969
 4245       0.3726001727453703       0.7642879645807161
 4246       0.4074737465960849       0.7844222435945412
 4247       0.4423471655894118       0.8045564332013604
 4248       0.4772207394401264       0.8246907122151859
 4249       0.5120943132908407       0.8448249912290109
 4250       0.5469677322841675       0.8649591808358297
 4251       0.5818413061348822       0.8850934598496552
 4252       0.6167147251282095       0.9052276494564744
 4253       0.6515882989789237       0.9253619284702994
 4254       0.6864617179722510       0.9454961180771186
 4255       0.7213352918229652       0.9656303970909441
 4256       0.7562087108162925       0.9857645866977629
 4257       0.7910822846670067       1.0058988657115884
 4258       0.8259557036603340       1.0260330553184072
 4259       0.8608292775110482       1.0461673343322326
 4260       0.8957026965043755       1.0663015239390514
 4261       0.9305762703550902       1.0864358029528769
 4262       0.9654496893484170       1.1065699925596957
